Week;Weekday;Begin date;Begin time;End date;End time;Course;Programme;Group;Room;Reason;Teacher;Comment;Map;Equipment
w3;Tuesday;2024-01-16;15:15;2024-01-16;17:00;Data Engineering I;F4.B.ai, IT4, MasBildMask1, MasDataAn1, MasIndAnalys1, MasSciCom1;;100195, Eva von Bahr, Auditorium, Ångström;Lecture;;;https://use.mazemap.com/?campusid=49&sharepoitype=identifier&sharepoi=%C3%85ngstr%C3%B6m-100195;
w3;Wednesday;2024-01-17;08:15;2024-01-17;10:00;Data Engineering I;F4.B.ai, IT4, MasBildMask1, MasDataAn1, MasIndAnalys1, MasSciCom1;;10101, Siegbahnsalen, Ångström;Lecture;;;http://use.mazemap.com/?v=1&campusid=49&campuses=uu&sharepoitype=identifier&sharepoi=Ångström-10101;
w3;Wednesday;2024-01-17;13:15;2024-01-17;15:00;High Performance Programming;F4.B.tb, IT4, KandDv3, MasSciCom1, MasStatMat1;;4001, Ångström;Lecture;;;http://use.mazemap.com/?v=1&campusid=49&campuses=uu&sharepoitype=identifier&sharepoi=Ångström-4001;
w3;Thursday;2024-01-18;10:15;2024-01-18;12:00;High Performance Programming;F4.B.tb, IT4, KandDv3, MasSciCom1, MasStatMat1;;2005, Ångström;Lecture;;;http://use.mazemap.com/?v=1&campusid=49&campuses=uu&sharepoitype=identifier&sharepoi=Ångström-2005;
w3;Thursday;2024-01-18;13:15;2024-01-18;15:00;Data Engineering I;F4.B.ai, IT4, MasBildMask1, MasDataAn1, MasIndAnalys1, MasSciCom1;;10101, Siegbahnsalen, Ångström;Lecture;;;http://use.mazemap.com/?v=1&campusid=49&campuses=uu&sharepoitype=identifier&sharepoi=Ångström-10101;
w3;Friday;2024-01-19;10:15;2024-01-19;12:00;High Performance Programming;F4.B.tb, IT4, KandDv3, MasSciCom1, MasStatMat1;;10K1201, Computer room, Ångström;Laboratory experiment;;;https://link.mazemap.com/1SNivutJ;
w4;Monday;2024-01-22;08:15;2024-01-22;10:00;Data Engineering I;F4.B.ai, IT4, MasBildMask1, MasDataAn1, MasIndAnalys1, MasSciCom1;;Via Zoom;Laboratory experiment;;;;
w4;Monday;2024-01-22;13:15;2024-01-22;15:00;Data Engineering I;F4.B.ai, IT4, MasBildMask1, MasDataAn1, MasIndAnalys1, MasSciCom1;;100195, Eva von Bahr, Auditorium, Ångström;Lecture;;;https://use.mazemap.com/?campusid=49&sharepoitype=identifier&sharepoi=%C3%85ngstr%C3%B6m-100195;
w4;Tuesday;2024-01-23;13:15;2024-01-23;15:00;High Performance Programming;F4.B.tb, IT4, KandDv3, MasSciCom1, MasStatMat1;;4101, Ångström;Lecture;;;http://use.mazemap.com/?v=1&campusid=49&campuses=uu&sharepoitype=identifier&sharepoi=Ångström-4101;
w4;Tuesday;2024-01-23;15:15;2024-01-23;17:00;Data Engineering I;F4.B.ai, IT4, MasBildMask1, MasDataAn1, MasIndAnalys1, MasSciCom1;;10101, Siegbahnsalen, Ångström;Lecture;;;http://use.mazemap.com/?v=1&campusid=49&campuses=uu&sharepoitype=identifier&sharepoi=Ångström-10101;
w4;Wednesday;2024-01-24;10:15;2024-01-24;12:00;High Performance Programming;F4.B.tb, IT4, KandDv3, MasSciCom1, MasStatMat1;;4101, Ångström;Lecture;;;http://use.mazemap.com/?v=1&campusid=49&campuses=uu&sharepoitype=identifier&sharepoi=Ångström-4101;
w4;Wednesday;2024-01-24;13:15;2024-01-24;15:00;Data Engineering I;F4.B.ai, IT4, MasIndAnalys1, MasSciCom1;;Via Zoom;Laboratory experiment;;;;
w4;Wednesday;2024-01-24;15:15;2024-01-24;17:00;Data Engineering I;F4.B.ai, IT4, MasIndAnalys1, MasSciCom1;;Via Zoom;Laboratory experiment;;;;
w4;Thursday;2024-01-25;13:15;2024-01-25;15:00;Data Engineering I;F4.B.ai, IT4, MasBildMask1, MasDataAn1, MasIndAnalys1, MasSciCom1;;101195, Heinz-Otto Kreiss, Ångström;Lecture;;;https://use.mazemap.com/?campusid=49&sharepoitype=identifier&sharepoi=%C3%85ngstr%C3%B6m-101195;
w4;Friday;2024-01-26;13:15;2024-01-26;15:00;High Performance Programming;F4.B.tb, IT4, KandDv3, MasSciCom1, MasStatMat1;;10K1201, Computer room, Ångström;Laboratory experiment;;;https://link.mazemap.com/1SNivutJ;
w5;Monday;2024-01-29;15:15;2024-01-29;17:00;Data Engineering I;F4.B.ai, IT4, MasBildMask1, MasDataAn1, MasIndAnalys1, MasSciCom1;;10101, Siegbahnsalen, Ångström;Lecture;;;http://use.mazemap.com/?v=1&campusid=49&campuses=uu&sharepoitype=identifier&sharepoi=Ångström-10101;
w5;Wednesday;2024-01-31;08:15;2024-01-31;10:00;Data Engineering I;F4.B.ai, IT4, MasIndAnalys1, MasSciCom1;;Via Zoom;Laboratory experiment;;;;
w5;Wednesday;2024-01-31;10:15;2024-01-31;12:00;Data Engineering I;F4.B.ai, IT4, MasIndAnalys1, MasSciCom1;;Via Zoom;Laboratory experiment;;;;
w5;Wednesday;2024-01-31;13:15;2024-01-31;15:00;High Performance Programming;F4.B.tb, IT4, KandDv3, MasSciCom1, MasStatMat1;;2001, Ångström;Lecture;;;http://use.mazemap.com/?v=1&campusid=49&campuses=uu&sharepoitype=identifier&sharepoi=Ångström-2001;
w5;Thursday;2024-02-01;10:15;2024-02-01;12:00;High Performance Programming;F4.B.tb, IT4, KandDv3, MasSciCom1, MasStatMat1;;101142, Ångström, 101146, Ångström, 101162, Ångström;Seminar;;;https://use.mazemap.com/?campusid=49&sharepoitype=identifier&sharepoi=%C3%85ngstr%C3%B6m-101142, https://use.mazemap.com/?campusid=49&sharepoitype=identifier&sharepoi=%C3%85ngstr%C3%B6m-101146, https://use.mazemap.com/?campusid=49&sharepoitype=identifier&sharepoi=%C3%85ngstr%C3%B6m-101162;
w5;Thursday;2024-02-01;13:15;2024-02-01;15:00;Data Engineering I;F4.B.ai, IT4, MasBildMask1, MasDataAn1, MasIndAnalys1, MasSciCom1;;101121, Sonja Lyttkens, Ångström;Lecture;;;https://use.mazemap.com/?campusid=49&sharepoitype=identifier&sharepoi=%C3%85ngstr%C3%B6m-101121;
w5;Friday;2024-02-02;10:15;2024-02-02;12:00;High Performance Programming;F4.B.tb, IT4, KandDv3, MasSciCom1, MasStatMat1;;10K1201, Computer room, Ångström;Laboratory experiment;;;https://link.mazemap.com/1SNivutJ;
w6;Monday;2024-02-05;15:15;2024-02-05;17:00;Data Engineering I;F4.B.ai, IT4, MasIndAnalys1, MasSciCom1;;Via Zoom;Laboratory experiment;;;;
w6;Tuesday;2024-02-06;08:15;2024-02-06;10:00;Data Engineering I;F4.B.ai, IT4, MasIndAnalys1, MasSciCom1;;Via Zoom;Laboratory experiment;;;;
w6;Tuesday;2024-02-06;13:15;2024-02-06;15:00;Data Engineering I;F4.B.ai, IT4, MasBildMask1, MasDataAn1, MasIndAnalys1, MasSciCom1;;100195, Eva von Bahr, Auditorium, Ångström;Lecture;;;https://use.mazemap.com/?campusid=49&sharepoitype=identifier&sharepoi=%C3%85ngstr%C3%B6m-100195;
w6;Tuesday;2024-02-06;13:15;2024-02-06;15:00;High Performance Programming;F4.B.tb, IT4, KandDv3, MasSciCom1, MasStatMat1;;80127, Ångström;Lecture;;;http://use.mazemap.com/?v=1&campusid=49&campuses=uu&sharepoitype=identifier&sharepoi=Ångström-80127;
